scope,target_contact,channel_contact,delay_ns
shared,all,1,7.5
shared,all,2,8.5
shared,all,3,2.25
shared,all,4,-1.75
shared,all,5,-4.25
shared,all,6,-6.5
shared,all,7,-1.75
shared,all,8,-2.0
shared,all,9,0.0
per_target,1,1,7.75
per_target,1,2,20.0
per_target,1,3,20.0
per_target,1,4,20.0
per_target,1,5,20.0
per_target,1,6,4.0
per_target,1,7,15.75
per_target,1,8,20.0
per_target,1,9,0.0
per_target,2,1,-20.0
per_target,2,2,8.5
per_target,2,3,20.0
per_target,2,4,-20.0
per_target,2,5,14.0
per_target,2,6,-20.0
per_target,2,7,16.0
per_target,2,8,18.75
per_target,2,9,0.0
per_target,3,1,-20.0
per_target,3,2,-13.5
per_target,3,3,1.75
per_target,3,4,-19.25
per_target,3,5,13.5
per_target,3,6,-5.5
per_target,3,7,5.0
per_target,3,8,14.75
per_target,3,9,0.0
per_target,4,1,-20.0
per_target,4,2,20.0
per_target,4,3,-7.25
per_target,4,4,-2.0
per_target,4,5,13.25
per_target,4,6,14.0
per_target,4,7,19.0
per_target,4,8,5.0
per_target,4,9,0.0
per_target,5,1,20.0
per_target,5,2,-2.0
per_target,5,3,17.5
per_target,5,4,-20.0
per_target,5,5,-4.25
per_target,5,6,-20.0
per_target,5,7,15.25
per_target,5,8,-20.0
per_target,5,9,0.0
per_target,6,1,6.0
per_target,6,2,20.0
per_target,6,3,-20.0
per_target,6,4,-19.75
per_target,6,5,-9.25
per_target,6,6,-6.0
per_target,6,7,15.25
per_target,6,8,13.25
per_target,6,9,0.0
per_target,7,1,4.0
per_target,7,2,-16.25
per_target,7,3,20.0
per_target,7,4,-3.75
per_target,7,5,14.75
per_target,7,6,-20.0
per_target,7,7,-2.75
per_target,7,8,-3.25
per_target,7,9,0.0
per_target,8,1,-8.0
per_target,8,2,-20.0
per_target,8,3,-20.0
per_target,8,4,20.0
per_target,8,5,-20.0
per_target,8,6,-7.5
per_target,8,7,6.0
per_target,8,8,-2.0
per_target,8,9,0.0
