receiver_contact,source_contact,value,unit
1,1,-0.029992493654579237,ns
1,2,0.027783553150439816,ns
1,3,-0.006820621347595009,ns
1,4,0.02949952436086615,ns
1,5,0.030031886823266442,ns
1,6,-0.022566870921226567,ns
1,7,-0.025008731777213813,ns
1,8,-0.027425631589593935,ns
1,9,-0.008112043005276879,ns
2,1,0.0286521727059922,ns
2,2,-0.04146684610234561,ns
2,3,0.03178712765359964,ns
2,4,0.01416329490795611,ns
2,5,0.022711044175869714,ns
2,6,0.026559814655290587,ns
2,7,-0.012984311915482528,ns
2,8,-0.02014130441307717,ns
2,9,0.06869245264979161,ns
3,1,0.029885548398633083,ns
3,2,0.030798777235640964,ns
3,3,0.020705382022226382,ns
3,4,0.029451642894468402,ns
3,5,0.02149378367891509,ns
3,6,0.01928852572169447,ns
3,7,0.027308759230302772,ns
3,8,-0.019338517287557977,ns
3,9,0.13082810858566332,ns
4,1,0.025067282146237553,ns
4,2,0.021969897758595515,ns
4,3,0.009775538122382082,ns
4,4,-0.003146799225775947,ns
4,5,0.020992239872674283,ns
4,6,-0.014832286903188767,ns
4,7,-0.019832689980440067,ns
4,8,0.019536845144653946,ns
4,9,0.04997713867025602,ns
5,1,0.03634970783865192,ns
5,2,-0.01715528919407199,ns
5,3,-0.03171624824791634,ns
5,4,-0.032847201822250316,ns
5,5,0.02120127752938201,ns
5,6,0.034581551320713166,ns
5,7,-0.033359501705083144,ns
5,8,0.020798528893443278,ns
5,9,-0.029582266494923504,ns
6,1,0.02002637584791419,ns
6,2,0.027393595123428607,ns
6,3,0.012933129281807235,ns
6,4,-0.023859982799662,ns
6,5,0.025544848914545518,ns
6,6,-0.00758138409820781,ns
6,7,0.018069857206975376,ns
6,8,-0.025008470896343556,ns
6,9,0.04724708597771472,ns
7,1,-0.041230934571356355,ns
7,2,0.036904427249008026,ns
7,3,0.03667308955871602,ns
7,4,0.020233177491594735,ns
7,5,-0.04322863809838162,ns
7,6,0.03172078384943608,ns
7,7,-0.0963352225900215,ns
7,8,-0.03131488442013177,ns
7,9,0.03309524335590494,ns
8,1,0.020150959394151492,ns
8,2,-0.02770903749178034,ns
8,3,-0.02833622774289937,ns
8,4,0.02580081665285734,ns
8,5,0.027034116010657482,ns
8,6,-0.029076218571801857,ns
8,7,0.0028464549615252583,ns
8,8,-0.07075780359686591,ns
8,9,-0.005474764739247125,ns
9,1,0.05394069070775546,ns
9,2,0.05847161101054168,ns
9,3,0.03300754510679993,ns
9,4,0.0011617453473998813,ns
9,5,-0.021911057102207216,ns
9,6,-0.021990437287162837,ns
9,7,-0.10881062062665946,ns
9,8,-0.08544192647543204,ns
9,9,-0.8457312304959639,ns
