target_contact,receiver_contact,source_contact,value,unit
1,1,1,-0.003581390170969436,ns
1,1,2,0.00012252173500066488,ns
1,1,3,0.00010132447440923678,ns
1,1,4,0.0007833823066275942,ns
1,1,5,0.0002486890796559617,ns
1,1,6,-7.73522323805625e-5,ns
1,1,7,-1.9077901479983788e-5,ns
1,1,8,5.638951470277606e-5,ns
1,1,9,0.0024282249384960323,ns
1,2,1,1.089426528443775,ns
1,2,2,2.3119710342840696,ns
1,2,3,0.5179708913809187,ns
1,2,4,1.7683195448763867,ns
1,2,5,2.637084572461326,ns
1,2,6,0.8778076358003567,ns
1,2,7,0.13936721238810343,ns
1,2,8,0.6233355366721851,ns
1,2,9,0.16612455757809394,ns
1,3,1,0.6257431591929246,ns
1,3,2,1.2119559462688339,ns
1,3,3,0.2711386880321926,ns
1,3,4,0.8749910807811385,ns
1,3,5,1.3380266087557953,ns
1,3,6,0.4554786811778005,ns
1,3,7,0.07397172823397753,ns
1,3,8,0.32169260207735867,ns
1,3,9,-0.2191177311538326,ns
1,4,1,2.0928362467757062,ns
1,4,2,0.8315802927218091,ns
1,4,3,0.1804974985753224,ns
1,4,4,0.6753922039431339,ns
1,4,5,0.9656303725934757,ns
1,4,6,0.29962364467324437,ns
1,4,7,0.04630852946964734,ns
1,4,8,0.210295189181622,ns
1,4,9,0.9850092488620561,ns
1,5,1,0.9075495240829266,ns
1,5,2,2.5302650567595384,ns
1,5,3,0.5891948539597933,ns
1,5,4,1.8914989028989657,ns
1,5,5,2.8013066235963047,ns
1,5,6,0.9235168255388077,ns
1,5,7,0.15098707346743803,ns
1,5,8,0.6969366487162145,ns
1,5,9,0.7236751213853669,ns
1,6,1,-0.8196638799802826,ns
1,6,2,0.11888095676809834,ns
1,6,3,0.03452147223334775,ns
1,6,4,0.1741351980114084,ns
1,6,5,0.21673585215307967,ns
1,6,6,0.06445963981715785,ns
1,6,7,0.00808237709751498,ns
1,6,8,0.051380113020921714,ns
1,6,9,0.18243246835055443,ns
1,7,1,-0.23720141344909362,ns
1,7,2,-1.1442599557836826,ns
1,7,3,-0.25591884523933633,ns
1,7,4,-0.849860778733881,ns
1,7,5,-1.2982582111627843,ns
1,7,6,-0.4384222455597572,ns
1,7,7,-0.0701045234492919,ns
1,7,8,-0.31056378028198034,ns
1,7,9,0.23106247605471447,ns
1,8,1,-0.6454925101955556,ns
1,8,2,-0.16882662560349748,ns
1,8,3,-0.03604005272196953,ns
1,8,4,-0.012926059275814783,ns
1,8,5,-0.05422968548199399,ns
1,8,6,-0.03043387835046816,ns
1,8,7,-0.008778455286831174,ns
1,8,8,-0.02951226763095844,ns
1,8,9,-0.08204952332264413,ns
1,9,1,0.03629910176307409,ns
1,9,2,0.0003700086719487303,ns
1,9,3,0.00017585470198920315,ns
1,9,4,0.002734119110368029,ns
1,9,5,0.0011910148210632404,ns
1,9,6,-0.00033471120667149563,ns
1,9,7,-9.642202918099554e-5,ns
1,9,8,-8.387166516065721e-5,ns
1,9,9,0.03532489506738029,ns
2,1,1,0.36516916441919867,ns
2,1,2,-0.6374727936365756,ns
2,1,3,1.137484818944612,ns
2,1,4,0.1663368277710353,ns
2,1,5,0.14956642361238998,ns
2,1,6,1.0580402451562922,ns
2,1,7,0.6549414708216578,ns
2,1,8,0.04377992418997126,ns
2,1,9,0.6682683315642223,ns
2,2,1,0.0025847247677277846,ns
2,2,2,-0.005945942965076482,ns
2,2,3,0.007639093417532826,ns
2,2,4,0.0011890896571615883,ns
2,2,5,0.0010624350680660908,ns
2,2,6,0.006706069340028511,ns
2,2,7,0.002656224822968398,ns
2,2,8,0.00023311166565811528,ns
2,2,9,0.005371921644190974,ns
2,3,1,0.52571862462804,ns
2,3,2,1.2016826078224876,ns
2,3,3,1.6181651751514872,ns
2,3,4,0.24169989060376598,ns
2,3,5,0.17077536092298862,ns
2,3,6,1.454545183718193,ns
2,3,7,1.0476882152721947,ns
2,3,8,0.0618472569995127,ns
2,3,9,2.0042743147484847,ns
2,4,1,0.3872602915486213,ns
2,4,2,0.15495138425845678,ns
2,4,3,1.290503611513486,ns
2,4,4,0.18189616743039944,ns
2,4,5,0.10706856004657042,ns
2,4,6,1.0715726738163824,ns
2,4,7,0.78893098923638,ns
2,4,8,0.042583565275262206,ns
2,4,9,0.2608801855120618,ns
2,5,1,-0.10301519464270685,ns
2,5,2,-0.2564069270512266,ns
2,5,3,-0.3782960331423165,ns
2,5,4,-0.04411397902752036,ns
2,5,5,-0.026719082653926984,ns
2,5,6,-0.34528549379795104,ns
2,5,7,-0.23328528145100477,ns
2,5,8,-0.01203186653970416,ns
2,5,9,0.0027399098052435203,ns
2,6,1,0.3168480569097796,ns
2,6,2,-0.0597541232128215,ns
2,6,3,0.7295940012333141,ns
2,6,4,0.13298869595627252,ns
2,6,5,0.12621102487562025,ns
2,6,6,0.614629377051199,ns
2,6,7,0.44542325599640054,ns
2,6,8,0.03243698976497698,ns
2,6,9,1.9625762061770844,ns
2,7,1,0.05219733178269757,ns
2,7,2,-0.29405262610794447,ns
2,7,3,0.11552554306408513,ns
2,7,4,0.027372374354500562,ns
2,7,5,0.038063503611856106,ns
2,7,6,0.12010155671914935,ns
2,7,7,0.06165164899635309,ns
2,7,8,0.007809257803260614,ns
2,7,9,0.6266348970542177,ns
2,8,1,-0.1981859884954523,ns
2,8,2,-0.05793510124498427,ns
2,8,3,-0.7527484013523155,ns
2,8,4,-0.0899992582050063,ns
2,8,5,-0.07601980498717914,ns
2,8,6,-0.7072885434658693,ns
2,8,7,-0.41176456445235055,ns
2,8,8,-0.024848818192698127,ns
2,8,9,-0.22927596137107584,ns
2,9,1,0.002579382738562006,ns
2,9,2,0.03446206961215466,ns
2,9,3,0.007111948065506572,ns
2,9,4,0.0011016352602026805,ns
2,9,5,0.0008709977477823344,ns
2,9,6,0.006111221054755691,ns
2,9,7,0.0013644034257042272,ns
2,9,8,0.00015244247776970545,ns
2,9,9,0.038610824444992434,ns
3,1,1,0.1189825575605562,ns
3,1,2,0.8096687102459406,ns
3,1,3,-0.32966543697329714,ns
3,1,4,0.6423605781038997,ns
3,1,5,0.02928946562892915,ns
3,1,6,0.3034211833425792,ns
3,1,7,1.0880720909189219,ns
3,1,8,0.21689193598654802,ns
3,1,9,-0.41507514406659624,ns
3,2,1,0.12481430502567811,ns
3,2,2,0.7620023907469231,ns
3,2,3,-0.12494176495486863,ns
3,2,4,0.5752433140870334,ns
3,2,5,0.02987373323161477,ns
3,2,6,0.2961638039276442,ns
3,2,7,0.9650253987698644,ns
3,2,8,0.19905909568073088,ns
3,2,9,0.8860442678839363,ns
3,3,1,-0.00041368238837287267,ns
3,3,2,-0.0025062982036228214,ns
3,3,3,0.002092744201972747,ns
3,3,4,-0.0018726699214108744,ns
3,3,5,-8.728533064872074e-5,ns
3,3,6,-0.0008976257203373572,ns
3,3,7,-0.003256230012720484,ns
3,3,8,-0.0006608942818577477,ns
3,3,9,0.0016115639625238955,ns
3,4,1,0.11569708247351344,ns
3,4,2,0.6577970624977696,ns
3,4,3,-0.6542139669194533,ns
3,4,4,0.49652021473509617,ns
3,4,5,0.026824026152085494,ns
3,4,6,0.2616948015493173,ns
3,4,7,0.8403407408830645,ns
3,4,8,0.17777906020883522,ns
3,4,9,0.4557873734617005,ns
3,5,1,-0.04345364635783157,ns
3,5,2,-0.11587265537424044,ns
3,5,3,-0.34853289984744096,ns
3,5,4,-0.08454731165495574,ns
3,5,5,-0.002800936826979636,ns
3,5,6,-0.018220042452475896,ns
3,5,7,-0.1736604226861881,ns
3,5,8,-0.04853094844896138,ns
3,5,9,-0.19734695129048907,ns
3,6,1,0.029910041854059377,ns
3,6,2,0.1741658407457378,ns
3,6,3,-0.7534768165831436,ns
3,6,4,0.14694709074982018,ns
3,6,5,0.008658981879500562,ns
3,6,6,0.08134697568197109,ns
3,6,7,0.16566682345928604,ns
3,6,8,0.036141838622718865,ns
3,6,9,0.3287817804731953,ns
3,7,1,0.05733595315088328,ns
3,7,2,0.31024649180792235,ns
3,7,3,-0.1370207674639157,ns
3,7,4,0.23392370800629314,ns
3,7,5,0.013361096295767727,ns
3,7,6,0.12659697383881363,ns
3,7,7,0.3445577373731842,ns
3,7,8,0.07489462315898811,ns
3,7,9,1.004634588909836,ns
3,8,1,-0.03575103281368099,ns
3,8,2,-0.18673938278097743,ns
3,8,3,-0.4635022023647174,ns
3,8,4,-0.13651043797946466,ns
3,8,5,-0.006253760111894353,ns
3,8,6,-0.0632893579300198,ns
3,8,7,-0.29669134408712017,ns
3,8,8,-0.06155391221127704,ns
3,8,9,-0.024533937008770452,ns
3,9,1,-4.626519417955398e-5,ns
3,9,2,0.001749746812502519,ns
3,9,3,0.012739554304288168,ns
3,9,4,0.0015690655265952398,ns
3,9,5,3.391734600479459e-6,ns
3,9,6,0.00027418824977166925,ns
3,9,7,-0.00026263237301093513,ns
3,9,8,-0.0002210243407460059,ns
3,9,9,0.02056198072907836,ns
4,1,1,0.5559281554664455,ns
4,1,2,0.3299357822088501,ns
4,1,3,2.075402569720583,ns
4,1,4,0.6152044865721631,ns
4,1,5,0.15534515883540967,ns
4,1,6,0.055430039769033435,ns
4,1,7,1.1324008276703765,ns
4,1,8,1.8152157247513798,ns
4,1,9,0.4767336071730267,ns
4,2,1,0.34800420152680955,ns
4,2,2,0.20407540084137876,ns
4,2,3,1.2058309056344187,ns
4,2,4,0.37069493989369384,ns
4,2,5,0.09676041973213813,ns
4,2,6,0.03356212972380823,ns
4,2,7,0.6810176632371239,ns
4,2,8,1.0959059972738567,ns
4,2,9,0.25822219101506444,ns
4,3,1,-0.113984228910061,ns
4,3,2,-0.07112905540360004,ns
4,3,3,-0.4576721354023647,ns
4,3,4,1.4387393646262672,ns
4,3,5,-0.019262681739354727,ns
4,3,6,-0.0062703669227303135,ns
4,3,7,-0.18421869722833312,ns
4,3,8,-0.28786919355137286,ns
4,3,9,1.159506002073866,ns
4,4,1,-0.00137082029337445,ns
4,4,2,-0.000738667067291533,ns
4,4,3,-0.006455132186299605,ns
4,4,4,0.0004534767025718555,ns
4,4,5,-0.000441636189787669,ns
4,4,6,-0.00017977466981600936,ns
4,4,7,-0.002972622673273367,ns
4,4,8,-0.005043010053892362,ns
4,4,9,-0.0024005156526738392,ns
4,5,1,-0.1368164962824614,ns
4,5,2,-0.0905010738851805,ns
4,5,3,-0.49683806555586735,ns
4,5,4,-0.7193688678766446,ns
4,5,5,-0.028954718145592098,ns
4,5,6,-0.008822959366594916,ns
4,5,7,-0.25764414888248105,ns
4,5,8,-0.40396817918085076,ns
4,5,9,-0.11703878194734527,ns
4,6,1,-0.14986178076802592,ns
4,6,2,-0.09062124771481331,ns
4,6,3,-0.7095379750622649,ns
4,6,4,-0.4257029740421891,ns
4,6,5,-0.043170278844788273,ns
4,6,6,-0.01654024466923613,ns
4,6,7,-0.3287484153905226,ns
4,6,8,-0.5539815954491061,ns
4,6,9,-0.10460976853204025,ns
4,7,1,-0.06453992136146175,ns
4,7,2,-0.04940984127963833,ns
4,7,3,-0.25596483729517017,ns
4,7,4,-0.5090525911932681,ns
4,7,5,-0.01729836133207374,ns
4,7,6,-0.006406044025855304,ns
4,7,7,-0.16045324766414792,ns
4,7,8,-0.24177333743072077,ns
4,7,9,0.16248094724325135,ns
4,8,1,0.10078500653667964,ns
4,8,2,0.03249249014545198,ns
4,8,3,0.7096103751086859,ns
4,8,4,-0.4528566361363472,ns
4,8,5,0.04015697768241243,ns
4,8,6,0.018141844331618088,ns
4,8,7,0.21362570364412473,ns
4,8,8,0.4436530637977934,ns
4,8,9,0.7031544820769308,ns
4,9,1,-0.0008220975999947008,ns
4,9,2,-0.0006191073733635278,ns
4,9,3,-0.002245293186972682,ns
4,9,4,-0.0047023617024143476,ns
4,9,5,-0.00028349745939500344,ns
4,9,6,-0.00013422314926555252,ns
4,9,7,-0.0021854355070243876,ns
4,9,8,-0.0026974589587602515,ns
4,9,9,-0.005121725497861871,ns
5,1,1,1.1031131851109597,ns
5,1,2,0.4418814477233782,ns
5,1,3,0.08018236491626536,ns
5,1,4,0.3955618308243093,ns
5,1,5,0.39312353988721954,ns
5,1,6,2.887459287303989,ns
5,1,7,0.38134728566702736,ns
5,1,8,2.695737009459431,ns
5,1,9,-0.001424172833886533,ns
5,2,1,0.5822446499316745,ns
5,2,2,0.2344484528453964,ns
5,2,3,0.04282751367290985,ns
5,2,4,0.20852114908051717,ns
5,2,5,-0.0790106846734148,ns
5,2,6,1.5672080140136988,ns
5,2,7,0.20493929868161448,ns
5,2,8,1.4201612968161172,ns
5,2,9,-0.07269205050955435,ns
5,3,1,0.7152459114625396,ns
5,3,2,0.29521281513999303,ns
5,3,3,0.054813797908416194,ns
5,3,4,0.25873025078544315,ns
5,3,5,0.2809656483107301,ns
5,3,6,1.954422493581924,ns
5,3,7,0.2619579892997005,ns
5,3,8,1.7872341904695321,ns
5,3,9,-0.38496843783158374,ns
5,4,1,0.27077842743908875,ns
5,4,2,0.11181560041195666,ns
5,4,3,0.02061516076358763,ns
5,4,4,0.09929134435670978,ns
5,4,5,0.04316538434258563,ns
5,4,6,0.7759525653376953,ns
5,4,7,0.09840470866203646,ns
5,4,8,0.6808848144437212,ns
5,4,9,0.004799578262785357,ns
5,5,1,0.0004329012749080558,ns
5,5,2,0.00024585070626478866,ns
5,5,3,3.9447601403918355e-5,ns
5,5,4,0.0002047139791887102,ns
5,5,5,0.0002883371694804194,ns
5,5,6,0.000975791249484445,ns
5,5,7,0.00016750240710741203,ns
5,5,8,0.0008223281055608646,ns
5,5,9,0.008017952638641024,ns
5,6,1,0.25638745578148786,ns
5,6,2,0.09058016592371715,ns
5,6,3,0.015339489144169466,ns
5,6,4,0.08712840674886639,ns
5,6,5,0.19779233891529663,ns
5,6,6,0.624743741952484,ns
5,6,7,0.07504285135712001,ns
5,6,8,0.5874672274449355,ns
5,6,9,0.5132436059337088,ns
5,7,1,-0.5357492567165568,ns
5,7,2,-0.21325226138702957,ns
5,7,3,-0.03824105845507299,ns
5,7,4,-0.19067574829811598,ns
5,7,5,-0.17155109401743654,ns
5,7,6,-1.3853934790286695,ns
5,7,7,-0.18219000179661826,ns
5,7,8,-1.2845981482800626,ns
5,7,9,-0.26006511195286863,ns
5,8,1,1.4084134365200254,ns
5,8,2,0.5777134029043658,ns
5,8,3,0.1101061025358242,ns
5,8,4,0.5192665896219415,ns
5,8,5,1.7081474231280365,ns
5,8,6,3.925191591971827,ns
5,8,7,0.5230615185263012,ns
5,8,8,3.70636166985314,ns
5,8,9,-0.11969453240024074,ns
5,9,1,0.0017911170681053003,ns
5,9,2,0.0004710426752266165,ns
5,9,3,7.101317727140237e-5,ns
5,9,4,0.0006092749024874937,ns
5,9,5,-0.018248138488839372,ns
5,9,6,0.004239890808047175,ns
5,9,7,0.00039645904330783263,ns
5,9,8,0.004490923767024609,ns
5,9,9,-0.015794129243359968,ns
6,1,1,-0.02726487485184354,ns
6,1,2,-0.03901361686522896,ns
6,1,3,-0.02556038989152232,ns
6,1,4,-0.004450379088101876,ns
6,1,5,-0.16088361934334688,ns
6,1,6,-0.5547025196386747,ns
6,1,7,-0.1489878994127224,ns
6,1,8,-0.01937567532623976,ns
6,1,9,-0.052428034277005,ns
6,2,1,0.2755541660608295,ns
6,2,2,0.5534638048252174,ns
6,2,3,0.27720384257519254,ns
6,2,4,0.05659242687400125,ns
6,2,5,1.5298082404542828,ns
6,2,6,-0.2477221131317886,ns
6,2,7,1.548491459588408,ns
6,2,8,0.19964100668464552,ns
6,2,9,0.09700454801963881,ns
6,3,1,0.26130313775061287,ns
6,3,2,0.5165852737460369,ns
6,3,3,0.251066993447335,ns
6,3,4,0.048327695384315736,ns
6,3,5,1.2680412458759505,ns
6,3,6,-0.32237186775085036,ns
6,3,7,1.3828184553369827,ns
6,3,8,0.17335612497945488,ns
6,3,9,-0.3043137684053092,ns
6,4,1,0.1537524182756987,ns
6,4,2,0.2517227789303321,ns
6,4,3,0.13778909543580414,ns
6,4,4,0.027677075149312013,ns
6,4,5,0.6757932818773676,ns
6,4,6,-0.3009964149899969,ns
6,4,7,0.697138328094033,ns
6,4,8,0.0954716806608339,ns
6,4,9,-0.5903892009068358,ns
6,5,1,0.06581998133144548,ns
6,5,2,0.13959647267833036,ns
6,5,3,0.06539329098413707,ns
6,5,4,0.012124151636726558,ns
6,5,5,0.3418836619464022,ns
6,5,6,0.400794864166774,ns
6,5,7,0.3742065737460137,ns
6,5,8,0.04376175257413826,ns
6,5,9,0.4546923921347472,ns
6,6,1,0.0006202859067887616,ns
6,6,2,0.0014835522120101308,ns
6,6,3,0.0006348568558591113,ns
6,6,4,0.00010990131271866962,ns
6,6,5,0.0029982157502573513,ns
6,6,6,-0.00547370026634665,ns
6,6,7,0.003610928322957934,ns
6,6,8,0.0003912935130771252,ns
6,6,9,0.0022804894544882063,ns
6,7,1,-0.08118941291533484,ns
6,7,2,-0.13721818121471535,ns
6,7,3,-0.0743133948937674,ns
6,7,4,-0.013990590480955042,ns
