target_contact,receiver_contact,source_contact,value,unit
1,1,1,-0.03357388382554867,ns
1,1,2,0.02790607488544048,ns
1,1,3,-0.006719296873185772,ns
1,1,4,0.030282906667493743,ns
1,1,5,0.030280575902922404,ns
1,1,6,-0.02264422315360713,ns
1,1,7,-0.025027809678693797,ns
1,1,8,-0.027369242074891158,ns
1,1,9,-0.005683818066780847,ns
1,2,1,1.1180787011497673,ns
1,2,2,2.270504188181724,ns
1,2,3,0.5497580190345183,ns
1,2,4,1.7824828397843429,ns
1,2,5,2.659795616637196,ns
1,2,6,0.9043674504556473,ns
1,2,7,0.1263829004726209,ns
1,2,8,0.603194232259108,ns
1,2,9,0.23481701022788554,ns
1,3,1,0.6556287075915577,ns
1,3,2,1.242754723504475,ns
1,3,3,0.291844070054419,ns
1,3,4,0.904442723675607,ns
1,3,5,1.3595203924347103,ns
1,3,6,0.474767206899495,ns
1,3,7,0.10128048746428031,ns
1,3,8,0.3023540847898007,ns
1,3,9,-0.08828962256816927,ns
1,4,1,2.1179035289219437,ns
1,4,2,0.8535501904804046,ns
1,4,3,0.19027303669770448,ns
1,4,4,0.6722454047173579,ns
1,4,5,0.98662261246615,ns
1,4,6,0.2847913577700556,ns
1,4,7,0.026475839489207276,ns
1,4,8,0.22983203432627594,ns
1,4,9,1.0349863875323122,ns
1,5,1,0.9438992319215784,ns
1,5,2,2.5131097675654663,ns
1,5,3,0.557478605711877,ns
1,5,4,1.8586517010767154,ns
1,5,5,2.822507901125687,ns
1,5,6,0.9580983768595208,ns
1,5,7,0.11762757176235489,ns
1,5,8,0.7177351776096578,ns
1,5,9,0.6940928548904435,ns
1,6,1,-0.7996375041323683,ns
1,6,2,0.14627455189152694,ns
1,6,3,0.04745460151515499,ns
1,6,4,0.1502752152117464,ns
1,6,5,0.24228070106762517,ns
1,6,6,0.05687825571895004,ns
1,6,7,0.026152234304490356,ns
1,6,8,0.026371642124578158,ns
1,6,9,0.22967955432826914,ns
1,7,1,-0.27843234802044997,ns
1,7,2,-1.1073555285346746,ns
1,7,3,-0.21924575568062032,ns
1,7,4,-0.8296276012422863,ns
1,7,5,-1.341486849261166,ns
1,7,6,-0.40670146171032107,ns
1,7,7,-0.16643974603931339,ns
