target_contact,receiver_contact,source_contact,value,unit
1,1,1,0.0020653227128878773,dimensionless
1,1,2,-0.0008123589793313242,dimensionless
1,1,3,-0.0001459157067986357,dimensionless
1,1,4,-0.00035982234198401883,dimensionless
1,1,5,-0.0008101304052397513,dimensionless
1,1,6,-0.0003573572499669929,dimensionless
1,1,7,-5.6195132299889997e-5,dimensionless
1,1,8,-0.00022316292263969783,dimensionless
1,1,9,-0.001502369387782685,dimensionless
1,2,1,0.01664866739636152,dimensionless
1,2,2,-0.4697904844538016,dimensionless
1,2,3,-0.10872848990901139,dimensionless
1,2,4,0.07129465639796463,dimensionless
1,2,5,-0.5097345831666775,dimensionless
1,2,6,-0.30880256038348514,dimensionless
1,2,7,-0.05621459637089805,dimensionless
1,2,8,-0.19408659611467538,dimensionless
1,2,9,-0.015953063752094154,dimensionless
1,3,1,0.005887749463659954,dimensionless
1,3,2,-0.15471588666875988,dimensionless
1,3,3,-0.043285227202889104,dimensionless
1,3,4,0.07581629948293685,dimensionless
1,3,5,-0.17861614394129005,dimensionless
1,3,6,-0.12378359513406187,dimensionless
1,3,7,-0.023577568376871708,dimensionless
1,3,8,-0.08077866457458888,dimensionless
1,3,9,-0.006609339021299107,dimensionless
1,4,1,0.042641572231737125,dimensionless
1,4,2,-0.38640964097387565,dimensionless
1,4,3,-0.09238428700071909,dimensionless
1,4,4,-0.16339347539872126,dimensionless
1,4,5,-0.4326876678921683,dimensionless
1,4,6,-0.1891853405286887,dimensionless
1,4,7,-0.032718043930667906,dimensionless
1,4,8,-0.13032791705857685,dimensionless
1,4,9,-0.04309200512755359,dimensionless
1,5,1,-0.025562191595754666,dimensionless
1,5,2,-0.39106760296809256,dimensionless
1,5,3,-0.10513059673682261,dimensionless
1,5,4,0.1254084281034827,dimensionless
1,5,5,-0.5443494441857366,dimensionless
1,5,6,-0.3314254968775991,dimensionless
1,5,7,-0.05963309573515801,dimensionless
1,5,8,-0.20992493838001114,dimensionless
1,5,9,0.024663797073710268,dimensionless
1,6,1,-0.010328218275735905,dimensionless
1,6,2,-0.09743272299120745,dimensionless
1,6,3,-0.007890411489763454,dimensionless
1,6,4,0.016557248224597493,dimensionless
1,6,5,-0.08307442306372492,dimensionless
1,6,6,-0.05306700340341799,dimensionless
1,6,7,-0.00849876608558274,dimensionless
1,6,8,-0.02311481640310002,dimensionless
1,6,9,0.00960864087085474,dimensionless
1,7,1,0.015947364976643508,dimensionless
1,7,2,0.163010503679812,dimensionless
1,7,3,0.038913895898041506,dimensionless
1,7,4,-0.0838197876525882,dimensionless
1,7,5,0.18053027422842977,dimensionless
1,7,6,0.12772440138725388,dimensionless
