target_contact,receiver_contact,source_contact,value,unit
1,1,1,1.0438051394868084,dimensionless
1,1,2,0.003412798147714745,dimensionless
1,1,3,0.0019552502422035367,dimensionless
1,1,4,0.0015945912592156383,dimensionless
1,1,5,0.001771046617804183,dimensionless
1,1,6,-0.003433747207466958,dimensionless
1,1,7,-0.0037521586885651773,dimensionless
1,1,8,-0.004383741196164886,dimensionless
1,1,9,-0.0023938208915336074,dimensionless
1,2,1,0.02254890785949065,dimensionless
1,2,2,0.5662278697440806,dimensionless
1,2,3,-0.1095882230235525,dimensionless
1,2,4,0.0728776484256211,dimensionless
1,2,5,-0.5112131870042055,dimensionless
1,2,6,-0.31064336801216563,dimensionless
1,2,7,-0.06100083757254596,dimensionless
1,2,8,-0.198538506253627,dimensionless
1,2,9,-0.013867443691527908,dimensionless
1,3,1,0.007250792903626283,dimensionless
1,3,2,-0.15460475246901675,dimensionless
1,3,3,0.9811447635504899,dimensionless
1,3,4,0.07736003553459124,dimensionless
1,3,5,-0.18167960640878014,dimensionless
1,3,6,-0.1272901142853199,dimensionless
1,3,7,-0.025755393080212644,dimensionless
1,3,8,-0.0866610479923395,dimensionless
1,3,9,-0.0018210919251499865,dimensionless
1,4,1,0.04441950296263852,dimensionless
1,4,2,-0.385456529282975,dimensionless
1,4,3,-0.08943664302164132,dimensionless
1,4,4,0.8576771095935326,dimensionless
1,4,5,-0.4347852224478114,dimensionless
1,4,6,-0.19317425117756068,dimensionless
1,4,7,-0.038447036518667134,dimensionless
1,4,8,-0.12963582619652697,dimensionless
1,4,9,-0.04087742353950688,dimensionless
1,5,1,-0.02307302440775626,dimensionless
1,5,2,-0.392536072836765,dimensionless
1,5,3,-0.10623814661956606,dimensionless
1,5,4,0.1232967070149401,dimensionless
1,5,5,0.48006887468488224,dimensionless
1,5,6,-0.32973475264471597,dimensionless
1,5,7,-0.06322579847372188,dimensionless
1,5,8,-0.20465342847477164,dimensionless
1,5,9,0.020841948063897733,dimensionless
1,6,1,-0.010791181386527992,dimensionless
1,6,2,-0.09700558315408507,dimensionless
1,6,3,-0.008058353223445638,dimensionless
1,6,4,0.013778498757304568,dimensionless
1,6,5,-0.08302947233241378,dimensionless
1,6,6,0.9631897399794682,dimensionless
1,6,7,-0.00833691016929342,dimensionless
1,6,8,-0.026747141869103742,dimensionless
1,6,9,0.006936807576906313,dimensionless
1,7,1,0.013836912203004202,dimensionless
1,7,2,0.16447807653574478,dimensionless
1,7,3,0.04032263772699749,dimensionless
1,7,4,-0.08428024948025488,dimensionless
1,7,5,0.1771231428625255,dimensionless
1,7,6,0.12852248248675152,dimensionless
1,7,7,1.0513221816874945,dimensionless
1,7,8,0.07727839680806164,dimensionless
1,7,9,-0.019501208180252624,dimensionless
1,8,1,0.0015811246343458052,dimensionless
1,8,2,-0.11795977936974872,dimensionless
1,8,3,-0.009617190498780528,dimensionless
1,8,4,-0.02905820460278481,dimensionless
1,8,5,-0.05948567919467383,dimensionless
1,8,6,-0.03486974014945218,dimensionless
1,8,7,-0.003319277143354263,dimensionless
1,8,8,1.0191419392133825,dimensionless
1,8,9,-0.006140924194464292,dimensionless
1,9,1,0.014626931098352,dimensionless
1,9,2,0.008776442454034649,dimensionless
1,9,3,-0.0017794601957996157,dimensionless
1,9,4,-0.01309106158971238,dimensionless
1,9,5,-0.010160881034335033,dimensionless
1,9,6,-0.01461499100269277,dimensionless
1,9,7,0.002081636356177152,dimensionless
1,9,8,0.009665287003621008,dimensionless
1,9,9,1.0268272423962452,dimensionless
2,1,1,1.0696998507820386,dimensionless
2,1,2,0.012651368501749,dimensionless
2,1,3,0.0128961237028734,dimensionless
2,1,4,0.015856620679656167,dimensionless
2,1,5,0.00716403430002837,dimensionless
2,1,6,-0.057818109572908366,dimensionless
2,1,7,-0.23207795015690874,dimensionless
2,1,8,-0.01295531606066723,dimensionless
2,1,9,-0.010611092885472524,dimensionless
2,2,1,0.0051028290378411206,dimensionless
2,2,2,1.0424555678427427,dimensionless
2,2,3,-0.0034738168228600425,dimensionless
2,2,4,0.0011725643936914478,dimensionless
2,2,5,-0.0019366752000209806,dimensionless
2,2,6,-0.004594627834133613,dimensionless
2,2,7,-0.007587231854111874,dimensionless
2,2,8,-0.0046289906608259854,dimensionless
2,2,9,-0.004148086354323798,dimensionless
2,3,1,-0.08586451338342843,dimensionless
2,3,2,0.031825467197339474,dimensionless
2,3,3,0.6623206178979308,dimensionless
2,3,4,-0.035535363462278015,dimensionless
2,3,5,-0.02231198515580347,dimensionless
2,3,6,-0.30923078527657355,dimensionless
2,3,7,-0.39768188203477417,dimensionless
2,3,8,-0.023014670320350334,dimensionless
2,3,9,-0.03158382794607525,dimensionless
2,4,1,-0.015445214741354855,dimensionless
2,4,2,0.014730874707627347,dimensionless
2,4,3,0.010274555527364799,dimensionless
2,4,4,1.0177693782798314,dimensionless
2,4,5,0.0018287354375444822,dimensionless
2,4,6,-0.007319893764659587,dimensionless
2,4,7,-0.15872579987675775,dimensionless
2,4,8,-0.003959414234250479,dimensionless
2,4,9,-0.013197758674420336,dimensionless
2,5,1,0.01736761370747731,dimensionless
2,5,2,0.01225376100752484,dimensionless
2,5,3,0.009361616631783871,dimensionless
2,5,4,0.0034984902742202866,dimensionless
2,5,5,1.0224713976113222,dimensionless
2,5,6,0.0010438070715181537,dimensionless
2,5,7,0.03955905834626678,dimensionless
2,5,8,0.006523136297762442,dimensionless
2,5,9,-0.016530785289035652,dimensionless
2,6,1,0.011962765962240652,dimensionless
2,6,2,0.013367872035789935,dimensionless
2,6,3,-0.1855535130361023,dimensionless
2,6,4,0.012577499786480886,dimensionless
2,6,5,-0.031751404462340274,dimensionless
2,6,6,0.6181886797070832,dimensionless
2,6,7,-0.36815327556428484,dimensionless
2,6,8,-0.021190878623996354,dimensionless
2,6,9,-0.018175554943022507,dimensionless
2,7,1,0.011946771674216719,dimensionless
2,7,2,0.006926492248441547,dimensionless
2,7,3,-0.059300002589023265,dimensionless
2,7,4,0.0028374071864798976,dimensionless
2,7,5,-0.007126305191291107,dimensionless
2,7,6,-0.07581524931213386,dimensionless
2,7,7,0.9440068769386105,dimensionless
2,7,8,-0.005112028937286939,dimensionless
2,7,9,-0.012052392691030847,dimensionless
2,8,1,0.01766022390329611,dimensionless
2,8,2,-0.013887251442987646,dimensionless
2,8,3,0.026069757586814606,dimensionless
2,8,4,0.0071927904302205616,dimensionless
2,8,5,0.00795776168903374,dimensionless
2,8,6,0.0495533344318632,dimensionless
2,8,7,0.14357412687722887,dimensionless
2,8,8,1.0343505652930856,dimensionless
2,8,9,0.008655942065599947,dimensionless
2,9,1,0.0072663457121471845,dimensionless
2,9,2,0.028809658138878137,dimensionless
2,9,3,-0.014767501455118189,dimensionless
2,9,4,-0.00967394304990958,dimensionless
2,9,5,-0.0035939337491268037,dimensionless
2,9,6,-0.024924280526139195,dimensionless
2,9,7,-0.005637243030187545,dimensionless
2,9,8,0.011191873705222033,dimensionless
2,9,9,1.0173611459479275,dimensionless
3,1,1,1.0018134923845265,dimensionless
3,1,2,0.07658969649691895,dimensionless
3,1,3,-0.010711113606828606,dimensionless
3,1,4,0.07643772713586199,dimensionless
3,1,5,-0.0018145081355422235,dimensionless
3,1,6,-0.016007785451465598,dimensionless
3,1,7,-0.13498088813454623,dimensionless
3,1,8,-0.06072729615026593,dimensionless
3,1,9,0.012320628697606978,dimensionless
3,2,1,-0.04698248153761797,dimensionless
3,2,2,0.9601428994038401,dimensionless
3,2,3,-0.02515476358627504,dimensionless
3,2,4,-0.027646305859678172,dimensionless
3,2,5,-0.011191861787223107,dimensionless
3,2,6,-0.07031228744894752,dimensionless
3,2,7,-0.3219108826407107,dimensionless
3,2,8,-0.09216936259243814,dimensionless
3,2,9,0.02411502561490015,dimensionless
3,3,1,0.0015045762124675246,dimensionless
3,3,2,-6.173939356622848e-5,dimensionless
3,3,3,1.0251573903696825,dimensionless
3,3,4,0.0013771381319459238,dimensionless
3,3,5,-0.0030493495554346902,dimensionless
3,3,6,-0.0034681329127756004,dimensionless
3,3,7,-0.0017885096038912289,dimensionless
3,3,8,-0.005704773492665159,dimensionless
3,3,9,0.005709236688564326,dimensionless
3,4,1,-0.030134965272565102,dimensionless
3,4,2,0.030844628798971208,dimensionless
3,4,3,-0.05573510264277844,dimensionless
3,4,4,1.0623450238490975,dimensionless
3,4,5,-0.007431408680851222,dimensionless
3,4,6,-0.030587571194030244,dimensionless
3,4,7,-0.17098285737502214,dimensionless
3,4,8,-0.05375840607259347,dimensionless
3,4,9,0.06021760193067447,dimensionless
3,5,1,0.015754554329486838,dimensionless
3,5,2,-0.006900720678535697,dimensionless
3,5,3,0.009568752331210066,dimensionless
3,5,4,-0.0027627342741799515,dimensionless
3,5,5,1.0262342226437298,dimensionless
3,5,6,0.015829158505508402,dimensionless
3,5,7,0.05746332763359506,dimensionless
3,5,8,0.02569389196126348,dimensionless
3,5,9,-0.01295552898730184,dimensionless
3,6,1,-0.007760362955777621,dimensionless
3,6,2,-0.007260759982368261,dimensionless
3,6,3,0.015706641524871723,dimensionless
3,6,4,0.007823457619473229,dimensionless
3,6,5,-0.0026846880607940505,dimensionless
3,6,6,0.9981199325256979,dimensionless
3,6,7,-0.06685745907485716,dimensionless
3,6,8,-0.020457915153325252,dimensionless
3,6,9,-0.01912047236722915,dimensionless
3,7,1,-0.03584325802856102,dimensionless
3,7,2,-0.11171427967609623,dimensionless
3,7,3,0.05284431508295996,dimensionless
3,7,4,-0.07122050084097614,dimensionless
3,7,5,-0.011127573807485431,dimensionless
3,7,6,-0.06250655160720736,dimensionless
3,7,7,0.7863389255210523,dimensionless
3,7,8,-0.058758631544298105,dimensionless
3,7,9,-0.05803837110316421,dimensionless
3,8,1,0.015805658423391152,dimensionless
3,8,2,0.0013572997426807127,dimensionless
3,8,3,0.03092110208275546,dimensionless
3,8,4,0.005000144987333968,dimensionless
3,8,5,0.006427122058819926,dimensionless
3,8,6,0.004983223577657299,dimensionless
3,8,7,0.06214560380452653,dimensionless
3,8,8,1.048816633979068,dimensionless
3,8,9,-0.03662204462942082,dimensionless
3,9,1,0.010863950446837875,dimensionless
3,9,2,0.010402777892941481,dimensionless
3,9,3,0.008238285975412369,dimensionless
3,9,4,-0.011915895623436791,dimensionless
3,9,5,-0.0019734101103162094,dimensionless
3,9,6,-0.014133871098062474,dimensionless
3,9,7,-0.005095602586078598,dimensionless
3,9,8,0.010097796987004175,dimensionless
3,9,9,1.020895476379565,dimensionless
4,1,1,0.8923841014446023,dimensionless
4,1,2,-0.11637911873078664,dimensionless
4,1,3,0.11112533481442617,dimensionless
4,1,4,-0.019471869371721184,dimensionless
4,1,5,-0.02717032152109466,dimensionless
4,1,6,-0.013171350075823443,dimensionless
4,1,7,-0.2570297187604863,dimensionless
